Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating,PC1,PC2
Christopher Operi,CIV,DF,0.0,100.0,0,0,0,0,0,0,0,0.0,0.0,0,78,70,90,1,0,1,3,33,0,0,0,4,20,3,2,0,0,0,0,0,,,,15,10,2,3,10,5,0,10,29,157,1.6,142,55,10698.42,-1.3243189297858935,-0.4306239971656189,-0.976291018232517,-1.5467822309464383,,2,Limited Tournament Impact,0.3206315348361055,9.9,,-0.8966008760804123,-0.23072663540838584
Cj Dos Santos,CPV,GK,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0,-1.8491850714187297,0.31666064731001287
Cody Gakpo,NED,FW,3.0,394.0,1,6,10,30,8,2,2,1.35,2.23,1,100,79,79,10,10,7,18,67,1,0,0,15,127,7,3,3,0,0,0,3,,,,103,56,39,8,54,49,5,86,72,257,5.98,418,177,39227.0,7.008110449445446,2.5749232721700714,1.6574095010694467,3.9376081695253338,,1,Dynamic Attackers,1.4393277224162624,44.3,,3.051037552762823,1.7147121745371976
Connor Metcalfe,AUS,MF,1.0,354.0,0,2,5,20,1,4,0,0.11,9.21,3,80,65,81,8,13,3,7,71,1,0,0,28,180,11,1,0,0,0,0,0,,,,140,34,89,17,80,60,2,37,64,199,6.49,513,175,38524.77,2.4186749034892348,1.0440429464568373,2.785019039805265,3.925518359853965,,1,Dynamic Attackers,1.264131058166333,38.9,,2.1812288665239534,0.21757585648023536
Craig Gordon,SCO,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0,-1.8491850714187297,0.31666064731001287
Cristian Martinez,PAN,MF,0.0,264.0,0,0,1,0,1,0,0,0.24,0.0,4,78,57,73,12,17,1,9,22,1,0,0,11,105,17,5,5,0,0,0,1,,,,73,28,34,11,30,43,4,37,42,188,6.73,319,147,29553.99,-0.6121709564446612,0.7898911443956117,2.124403975586332,1.936664473052212,,3,Complete Midfielders,0.9522341178934586,29.3,,1.0285761718163895,-0.6873889282132208
Cristian Roldan,USA,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Cristian Romero,ARG,DF,1.0,612.0,0,2,3,33,3,0,3,0.41,2.45,0,389,378,97,0,0,3,1,0,0,0,0,7,36,18,7,2,0,0,0,0,,,,24,3,2,19,15,9,1,4,60,706,4.13,263,72,41848.49,2.1430001749959966,1.9361806115625249,0.6559634361644929,0.5856614633311261,,1,Dynamic Attackers,0.9172276001274036,28.2,,1.1369762270913897,0.30921425266409186
Cristian Volpato,AUS,FW,0.0,180.0,0,1,4,0,2,2,0,0.28,0.0,7,66,52,79,13,23,11,9,56,0,0,0,11,64,4,1,2,0,0,0,0,,,,75,17,52,6,43,32,1,58,70,188,5.16,322,94,20702.13,0.7371388107863268,1.906787868629824,0.3531968249031265,1.7008996498677882,,3,Complete Midfielders,0.8991151213178358,27.6,,0.9755067572931075,-0.22192884857750178
Cristiano Ronaldo,POR,FW,3.0,490.0,0,9,18,17,15,3,0,2.94,1.02,0,99,86,87,1,0,0,4,25,0,0,0,7,72,6,2,5,0,0,0,6,,,,187,92,81,14,147,40,8,65,69,239,5.07,330,153,41504.05,10.001444897290328,-0.3730315655153717,0.8319388389858863,5.288513395058201,,1,Dynamic Attackers,1.3164891523897024,40.5,,2.906660234522268,3.422941704331739
Crysencio Summerville,NED,FW,2.0,282.0,2,2,2,100,1,1,0,0.16,12.33,3,67,56,84,8,13,5,6,83,0,0,0,17,75,13,2,5,1,0,0,1,,,,80,39,28,13,40,40,6,46,62,182,6.16,285,131,28089.07,4.07776388250858,0.9736777560426498,1.9194908051182813,2.297820971335743,,1,Dynamic Attackers,1.1380929284520258,35.0,,1.9348063181037796,1.0042527535170684
Cucho Hernandez,COL,FW,0.0,66.0,1,0,1,0,1,0,1,0.04,0.0,0,8,5,63,1,100,0,0,0,0,0,0,0,24,3,0,1,0,0,0,0,,,,14,12,2,0,11,3,2,14,16,29,2.7,99,31,7494.21,-0.3639059235558562,-1.0489731649907938,-1.0091727164041724,-1.759962583716064,,2,Limited Tournament Impact,0.2917744541435232,9.0,,-0.9103144486151328,0.2582712656716316
Cyle Larin,CAN,FW,2.0,224.0,0,4,9,22,9,0,3,1.27,1.58,0,23,20,87,0,0,1,1,0,0,0,0,8,76,6,5,1,2,0,0,3,,,,76,44,21,11,48,28,1,29,34,74,4.5,216,96,20615.07,5.250210808976843,-1.3941583007736558,0.2503534099914396,0.7261941118759798,,1,Dynamic Attackers,0.739477678911137,22.7,,0.8390522895000073,2.1479478997058568
Daichi Kamada,JPN,MF,2.0,359.0,0,0,1,200,0,1,0,0.09,23.09,1,200,170,85,4,50,1,6,50,3,100,0,13,116,22,2,4,1,0,0,1,,,,212,19,92,101,134,78,0,34,52,436,6.49,423,128,38789.21,4.398582428558174,2.7626896060674886,2.506837080917652,4.938499424573663,,1,Dynamic Attackers,1.5016060110029923,46.2,,3.0373220734035615,0.5857436028220829
Dailon Livramento,CPV,FW,0.0,198.0,0,0,1,0,0,1,0,0.0,0.0,0,19,15,79,3,33,1,0,0,0,0,0,8,93,4,1,1,0,0,0,2,,,,66,43,23,0,53,13,2,18,23,55,5.22,237,100,23067.28,-1.019547935040794,-1.147856392615691,0.3155473721906559,0.4954850444065054,,0,Balanced Contributors,0.523370525667728,16.1,,-0.27588673401693875,-0.20155870562790343
Daizen Maeda,JPN,MF,1.0,271.0,0,1,2,50,2,0,1,0.79,1.27,0,30,28,93,3,0,0,1,100,0,0,0,18,125,22,2,1,0,0,0,1,,,,102,73,25,4,71,31,8,31,33,92,5.36,432,239,32326.01,1.537388010288966,-0.4029805827611966,2.401976885218726,3.05016895807894,,1,Dynamic Attackers,1.0303907951389335,31.7,,1.4197414119842429,0.2603656951758103
