Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Maxence Lacroix,FRA,DF,0.0,0.0,173.0,0,0,0,0,0,0,0,0.0,0x,0,96,91,95,0,0,2,0,0,1,100,0,1,19,8,4,0,0,0,0,1,,,,12,1,2,9,7,5,0,0,5,194,1.73,186,53,17313.36
Maxi Araujo,URU,MF,2.0,1.0,278.0,1,3,4,50,3,1,2,1.09,1.83x,10,57,50,88,18,44,7,7,86,0,0,0,10,79,11,2,7,0,0,0,6,,,,135,74,51,10,72,63,7,45,55,174,5.96,308,129,27642.83
Maxim De Cuyper,BEL,DF,0.0,0.0,492.0,0,6,10,0,5,5,0,1.09,0x,4,246,203,83,16,25,3,9,44,2,100,0,18,77,19,7,2,1,0,0,0,,,,125,47,46,32,47,78,8,38,68,541,6.55,653,234,54016.4
Maxime Crepeau,CAN,GK,0.0,0.0,511.0,0,0,0,0,0,0,0,0.0,0x,0,123,92,75,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,7.0,49.0,40.0,14,0,0,14,9,5,0,0,6,237,3.3,90,16,28143.54
Maximilian Beier,GER,FW,0.0,0.0,33.0,0,0,0,0,0,0,0,0.0,0x,0,13,6,46,0,0,0,1,0,0,0,0,1,9,1,1,1,0,0,0,0,,,,12,4,8,0,1,11,0,7,7,26,1.62,46,16,3573.92
Mbekezeli Mbokazi,RSA,DF,0.0,0.0,402.0,0,1,4,0,0,4,0,0.06,0x,0,213,185,87,2,0,2,7,57,3,67,0,9,49,16,3,4,0,0,0,1,,,,29,5,6,18,13,16,0,4,29,466,5.31,336,138,35585.09
Mehdi Ghayedi,IRN,FW,0.0,0.0,50.0,0,0,1,0,0,1,0,0.05,0x,1,9,6,67,3,33,0,1,100,0,0,0,3,13,2,2,1,0,0,0,0,,,,6,3,3,0,4,2,5,7,11,29,1.86,50,24,4683.23
Mehdi Taremi,IRN,FW,0.0,0.0,293.0,0,2,5,0,4,1,1,1.34,0x,0,71,58,82,2,0,3,4,25,0,0,0,17,100,7,3,5,0,0,0,2,,,,94,53,29,12,63,31,3,55,69,185,6.23,345,156,30405.34
Mehdi Torabi,IRN,MF,0.0,0.0,29.0,0,0,0,0,0,0,0,0.0,0x,0,20,17,85,2,0,0,1,100,0,0,0,1,13,1,0,0,0,0,0,0,,,,15,5,6,4,6,9,1,6,11,45,2.34,65,18,3461.66
Melvin Mastil,ALG,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Memphis Depay,NED,FW,0.0,1.0,68.0,1,0,0,0,0,0,0,0.0,0x,1,17,15,88,1,100,0,2,100,1,100,0,0,31,2,1,1,1,0,0,0,,,,35,19,14,2,31,4,0,17,18,39,5.39,137,50,8184.41
