Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score
Jonathan Osorio,CAN,MF,0.0,17.0,0,0,1,0,1,0,0,0.04,0.0,0,9,6,67,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,,,,4,1,1,2,2,2,0,1,7,22,2.82,29,11,2036.53,-1.0173670805861141,-1.8581355601786036,-1.302747809600504,-2.628953517939276,
Jonathan Tah,GER,DF,0.0,419.0,0,1,1,0,1,0,1,0.03,0.0,0,375,364,97,1,0,1,3,100,1,100,0,5,27,9,5,1,0,0,0,0,,,,52,2,1,49,37,15,0,4,59,794,6.1,392,119,42610.17,-0.5343208332072451,3.580370424601671,-0.29479238027431304,1.7388548296033843,
Jordan Ayew,GHA,FW,0.0,323.0,0,0,0,0,0,0,0,0.0,0.0,6,47,33,70,9,11,1,3,0,1,0,0,23,212,19,7,7,0,0,0,1,,,,86,51,28,7,58,28,4,37,45,124,6.47,416,167,34883.48,-0.9500062130673338,-0.3864804274099686,4.525177680205784,2.4422453337221195,
Jordan Bos,AUS,DF,0.0,343.0,0,2,5,0,3,2,0,0.42,0.0,0,107,94,88,8,38,8,8,38,1,100,0,23,84,21,4,4,1,0,0,0,,,,76,27,37,12,26,50,7,41,93,286,6.41,396,223,36920.34,0.9308792171607234,2.5592138646128464,2.7138035332664185,3.377199005860652,
Jordan Henderson,ENG,MF,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,1,13,12,92,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,,,,22,1,4,17,20,2,1,0,5,27,1.46,35,6,1790.68,-1.261933476999467,-1.5545236240188425,-1.415575384730712,-2.391792343724914,
Jordan Pickford,ENG,GK,0.0,756.0,0,0,0,0,0,0,0,0.0,0.0,0,265,190,72,0,0,0,12,42,3,33,0,0,0,0,0,3,0,0,0,0,14.0,116.0,94.0,66,0,0,66,46,20,0,0,6,427,3.35,105,26,36148.96,-1.3243189297858935,2.260380163436146,-1.1157871672140938,-0.16606317244947075,3.440885729052481
Jordy Alcivar,ECU,MF,0.0,49.0,0,0,1,0,1,0,0,0.04,0.0,0,33,31,94,1,0,0,1,100,0,0,0,1,12,7,1,0,1,0,0,0,,,,17,4,3,10,10,7,0,1,19,77,1.54,63,23,5065.44,-1.0173670805861141,-0.4862712020054323,-1.0055154648625915,-2.1645924567707158,
Jordy Caicedo,ECU,FW,0.0,40.0,0,0,1,0,1,0,0,0.05,0.0,0,6,6,100,0,0,0,0,0,0,0,0,1,12,1,2,0,0,0,0,0,,,,5,4,1,0,3,2,0,9,9,20,4.6,44,22,4108.67,-1.0095843649363268,-1.6027695719164694,-1.3750736704164495,-2.216074860984824,
Jorge Carrascal,COL,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Jorge Gutierrez,PAN,DF,0.0,90.0,0,0,0,0,0,0,0,0.0,0.0,0,23,19,83,0,0,0,1,0,0,0,0,6,28,10,1,2,0,0,0,0,,,,16,10,2,4,4,12,0,6,15,50,2.1,117,43,9490.21,-1.3243189297858935,-1.5275138907490808,0.012254016724125976,-1.874719713932533,
